NUTF2P3-001,miR-3923,48,miR-3923
XIST,miR-133a,48,
TUG1,miR-382,48,
PVT1,miR-448,48,
GAS5,miR-103,51,
PCA3,miR-1261,51,miR-1261
PTENP1,miR-19 miR-20a,51,
SNHG1,miR-199a-3p,51,
UCA1,miR-204,51,
PVT1,miR-186,51,
lncARSR,miR-34 miR-449,53,miR-34 miR-449
H19,miR-17-5p,59,
H19,let-7a,60,
